"Timestamp","X","Y","Z","ID"
40,-0.38,-2.23,0.0,10
80,-0.37,-2.24,0.0,10
120,-0.34,-2.24,0.0,10
160,-0.34,-2.24,0.0,10
200,-0.33,-2.23,0.0,10
240,-0.31,-2.21,0.0,10
280,-0.3,-2.19,0.0,10
320,-0.28,-2.18,0.0,10
360,-0.26,-2.18,0.0,10
400,-0.21,-2.2,0.0,10
440,-0.16,-2.25,0.0,10
480,-0.09,-2.26,0.0,10
520,-0.04,-2.31,0.0,10
560,0.01,-2.32,0.0,10
600,0.07,-2.33,0.0,10
640,0.14,-2.33,0.0,10
680,0.22,-2.36,0.0,10
720,0.29,-2.38,0.0,10
760,0.34,-2.41,0.0,10
800,0.41,-2.44,0.0,10
840,0.48,-2.46,0.0,10
880,0.54,-2.49,0.0,10
920,0.61,-2.52,0.0,10
960,0.68,-2.53,0.0,10
1000,0.74,-2.57,0.0,10
1040,0.83,-2.61,0.0,10
1080,0.92,-2.64,0.0,10
1120,1.02,-2.66,0.0,10
1160,1.1,-2.69,0.0,10
1200,1.19,-2.73,0.0,10
1240,1.28,-2.78,0.0,10
1280,1.37,-2.82,0.0,10
1320,1.45,-2.85,0.0,10
1360,1.55,-2.88,0.0,10
1400,1.64,-2.9,0.0,10
1440,1.73,-2.91,0.0,10
1480,1.82,-2.94,0.0,10
1520,1.91,-2.97,0.0,10
1560,2.01,-3.02,0.0,10
1600,2.1,-3.06,0.0,10
1640,2.18,-3.12,0.0,10
1680,2.25,-3.19,0.0,10
1720,2.33,-3.24,0.0,10
1760,2.42,-3.3,0.0,10
1800,2.52,-3.33,0.0,10
1840,2.62,-3.35,0.0,10
1880,2.72,-3.39,0.0,10
1920,2.81,-3.44,0.0,10
1960,2.9,-3.49,0.0,10
2000,2.99,-3.54,0.0,10
2040,3.09,-3.58,0.0,10
2080,3.19,-3.63,0.0,10
2120,3.27,-3.68,0.0,10
2160,3.37,-3.73,0.0,10
2200,3.47,-3.79,0.0,10
2240,3.59,-3.85,0.0,10
2280,3.69,-3.9,0.0,10
2320,3.79,-3.95,0.0,10
2360,3.89,-4.01,0.0,10
2400,3.98,-4.07,0.0,10
2440,4.08,-4.13,0.0,10
2480,4.18,-4.19,0.0,10
2520,4.28,-4.24,0.0,10
2560,4.38,-4.29,0.0,10
2600,4.5,-4.35,0.0,10
2640,4.61,-4.4,0.0,10
2680,4.72,-4.46,0.0,10
2720,4.82,-4.52,0.0,10
2760,4.93,-4.58,0.0,10
2800,5.03,-4.65,0.0,10
2840,5.13,-4.71,0.0,10
2880,5.23,-4.77,0.0,10
2920,5.34,-4.83,0.0,10
2960,5.43,-4.88,0.0,10
3000,5.52,-4.94,0.0,10
3040,5.61,-5.02,0.0,10
3080,5.68,-5.09,0.0,10
3120,5.77,-5.17,0.0,10
3160,5.86,-5.24,0.0,10
3200,5.95,-5.32,0.0,10
3240,6.05,-5.41,0.0,10
3280,6.13,-5.51,0.0,10
3320,6.22,-5.61,0.0,10
3360,6.29,-5.69,0.0,10
3400,6.36,-5.77,0.0,10
3440,6.43,-5.86,0.0,10
3480,6.49,-5.96,0.0,10
3520,6.56,-6.05,0.0,10
3560,6.62,-6.13,0.0,10
3600,6.67,-6.22,0.0,10
3640,6.73,-6.34,0.0,10
3680,6.77,-6.46,0.0,10
3720,6.83,-6.58,0.0,10
3760,6.88,-6.7,0.0,10
3800,6.92,-6.79,0.0,10
3840,6.95,-6.89,0.0,10
3880,6.97,-6.99,0.0,10
3920,6.99,-7.08,0.0,10
3960,6.99,-7.2,0.0,10
4000,6.99,-7.31,0.0,10
4040,6.99,-7.42,0.0,10
4080,6.99,-7.52,0.0,10
4120,6.99,-7.63,0.0,10
4160,6.97,-7.74,0.0,10
4200,6.95,-7.84,0.0,10
4240,6.93,-7.93,0.0,10
4280,6.9,-8.03,0.0,10
4320,6.88,-8.12,0.0,10
4360,6.85,-8.23,0.0,10
4400,6.8,-8.32,0.0,10
4440,6.76,-8.42,0.0,10
4480,6.74,-8.5,0.0,10
4520,6.7,-8.58,0.0,10
4560,6.66,-8.67,0.0,10
4600,6.6,-8.76,0.0,10
4640,6.54,-8.84,0.0,10
4680,6.46,-8.9,0.0,10
4720,6.38,-8.97,0.0,10
4760,6.3,-9.01,0.0,10
4800,6.23,-9.06,0.0,10
4840,6.16,-9.09,0.0,10
4880,6.08,-9.13,0.0,10
4920,6.01,-9.19,0.0,10
4960,5.92,-9.23,0.0,10
5000,5.83,-9.25,0.0,10
5040,5.74,-9.27,0.0,10
5080,5.65,-9.26,0.0,10
5120,5.56,-9.25,0.0,10
5160,5.47,-9.24,0.0,10
5200,5.37,-9.2,0.0,10
5240,5.29,-9.17,0.0,10
5280,5.21,-9.13,0.0,10
5320,5.13,-9.07,0.0,10
5360,5.05,-9.01,0.0,10
5400,4.97,-8.95,0.0,10
5440,4.91,-8.88,0.0,10
5480,4.84,-8.8,0.0,10
5520,4.77,-8.73,0.0,10
5560,4.71,-8.66,0.0,10
5600,4.64,-8.58,0.0,10
5640,4.57,-8.5,0.0,10
5680,4.52,-8.4,0.0,10
5720,4.45,-8.32,0.0,10
5760,4.4,-8.22,0.0,10
5800,4.35,-8.11,0.0,10
5840,4.3,-8.03,0.0,10
5880,4.25,-7.92,0.0,10
5920,4.21,-7.82,0.0,10
5960,4.16,-7.72,0.0,10
6000,4.13,-7.61,0.0,10
6040,4.1,-7.52,0.0,10
6080,4.06,-7.42,0.0,10
6120,4.04,-7.3,0.0,10
6160,4.01,-7.2,0.0,10
6200,3.98,-7.08,0.0,10
6240,3.96,-6.96,0.0,10
6280,3.94,-6.83,0.0,10
6320,3.92,-6.72,0.0,10
6360,3.9,-6.62,0.0,10
6400,3.86,-6.51,0.0,10
6440,3.83,-6.42,0.0,10
6480,3.81,-6.31,0.0,10
6520,3.79,-6.21,0.0,10
6560,3.76,-6.13,0.0,10
6600,3.73,-6.05,0.0,10
6640,3.71,-5.96,0.0,10
6680,3.69,-5.83,0.0,10
6720,3.67,-5.7,0.0,10
6760,3.67,-5.6,0.0,10
6800,3.67,-5.49,0.0,10
6840,3.67,-5.39,0.0,10
6880,3.69,-5.29,0.0,10
6920,3.69,-5.2,0.0,10
6960,3.69,-5.1,0.0,10
7000,3.7,-5.02,0.0,10
7040,3.7,-4.92,0.0,10
7080,3.72,-4.81,0.0,10
7120,3.73,-4.72,0.0,10
7160,3.74,-4.63,0.0,10
7200,3.75,-4.54,0.0,10
7240,3.77,-4.46,0.0,10
7280,3.79,-4.36,0.0,10
7320,3.81,-4.27,0.0,10
7360,3.83,-4.19,0.0,10
7400,3.85,-4.09,0.0,10
7440,3.89,-4.0,0.0,10
7480,3.92,-3.89,0.0,10
7520,3.95,-3.78,0.0,10
7560,3.97,-3.69,0.0,10
7600,4.01,-3.58,0.0,10
7640,4.04,-3.46,0.0,10
7680,4.08,-3.34,0.0,10
7720,4.12,-3.23,0.0,10
7760,4.15,-3.12,0.0,10
7800,4.18,-3.03,0.0,10
7840,4.22,-2.91,0.0,10
7880,4.26,-2.8,0.0,10
7920,4.3,-2.68,0.0,10
7960,4.34,-2.58,0.0,10
8000,4.38,-2.47,0.0,10
8040,4.42,-2.37,0.0,10
8080,4.46,-2.24,0.0,10
8120,4.5,-2.12,0.0,10
8160,4.54,-2.01,0.0,10
8200,4.58,-1.89,0.0,10
8240,4.63,-1.81,0.0,10
8280,4.66,-1.72,0.0,10
8320,4.71,-1.65,0.0,10
8360,4.74,-1.57,0.0,10
8400,4.77,-1.48,0.0,10
8440,4.82,-1.38,0.0,10
8480,4.84,-1.3,0.0,10
8520,4.86,-1.22,0.0,10
8560,4.88,-1.14,0.0,10
8600,4.9,-1.03,0.0,10
8640,4.91,-0.93,0.0,10
8680,4.92,-0.84,0.0,10
8720,4.92,-0.74,0.0,10
8760,4.92,-0.66,0.0,10
8800,4.91,-0.55,0.0,10
8840,4.9,-0.44,0.0,10
8880,4.87,-0.34,0.0,10
8920,4.85,-0.25,0.0,10
8960,4.84,-0.11,0.0,10
9000,4.81,0.02,0.0,10
9040,4.77,0.15,0.0,10
9080,4.74,0.29,0.0,10
9120,4.72,0.42,0.0,10
9160,4.68,0.56,0.0,10
9200,4.65,0.7,0.0,10
9240,4.62,0.84,0.0,10
9280,4.57,0.99,0.0,10
9320,4.53,1.14,0.0,10
9360,4.48,1.28,0.0,10
9400,4.44,1.42,0.0,10
9440,4.4,1.55,0.0,10
9480,4.34,1.66,0.0,10
9520,4.3,1.78,0.0,10
9560,4.25,1.9,0.0,10
9600,4.2,2.04,0.0,10
9640,4.14,2.18,0.0,10
9680,4.08,2.33,0.0,10
9720,4.05,2.47,0.0,10
9760,4.01,2.61,0.0,10
9800,3.96,2.73,0.0,10
9840,3.92,2.88,0.0,10
9880,3.89,3.04,0.0,10
9920,3.84,3.19,0.0,10
9960,3.81,3.35,0.0,10
10000,3.75,3.49,0.0,10
10040,3.71,3.63,0.0,10
10080,3.67,3.78,0.0,10
10120,3.64,3.89,0.0,10
10160,3.6,4.0,0.0,10
10200,3.55,4.12,0.0,10
10240,3.52,4.26,0.0,10
10280,3.47,4.41,0.0,10
10320,3.43,4.57,0.0,10
10360,3.39,4.7,0.0,10
10400,3.34,4.82,0.0,10
10440,3.31,4.96,0.0,10
10480,3.27,5.11,0.0,10
10520,3.24,5.27,0.0,10
10560,3.21,5.44,0.0,10
10600,3.19,5.57,0.0,10
10640,3.14,5.71,0.0,10
10680,3.11,5.85,0.0,10
10720,3.06,5.99,0.0,10
10760,3.02,6.12,0.0,10
